keys,en,es,pt_BR,fr,de,ru,tr
Pause,Pause,Pausa,Pausa,Pause,Pause,Пауза,Duraklat
Undo,Undo,Deshacer,Desfazer,Annuler,Zurück,Отмена,Geri al
Restart,Restart,Reiniciar,Reiniciar,Rejouer,Neustart,Заново,Yeniden başlat
Level goals,Level goals,Objetivos del nivel,Objetivos da fase,Objectifs du niveau,Levelziele,Цели уровня,Bölüm hedefleri
Destroy all goal pieces. The Goals counter at the top shows your progress.,Destroy all goal pieces. The Goals counter at the top shows your progress.,Destruye todas las piezas objetivo. El contador superior muestra tu progreso.,Destrua todas as peças-alvo. O contador no topo mostra seu progresso.,Détruisez toutes les pièces cibles. Le compteur en haut indique votre progression.,Zerstöre alle Zielobjekte. Der Zähler oben zeigt deinen Fortschritt.,Уничтожьте все целевые предметы. Счётчик целей вверху показывает прогресс.,Tüm hedef parçaları yok et. Üstteki Hedefler sayacı ilerlemeni gösterir.
Score,Score,Puntuación,Pontuação,Score,Punkte,Очки,Puan
In this level,In this level,En este nivel,Nesta fase,Dans ce niveau,In diesem Level,На этом уровне,Bu bölümde
"Drag items to move them.
Z undo · R restart · Esc pause","Drag items to move them.
Z undo · R restart · Esc pause","Arrastra las piezas para moverlas.
Z deshacer · R reiniciar · Esc pausa","Arraste as peças para movê-las.
Z desfazer · R reiniciar · Esc pausa","Faites glisser les pièces.
Z annuler · R rejouer · Échap pause","Ziehe Objekte zum Bewegen.
Z zurück · R Neustart · Esc Pause","Перетаскивайте предметы.
Z отмена · R заново · Esc пауза","Parçaları sürükleyerek taşı.
Z geri al · R yeniden başlat · Esc duraklat"
Test play,Test play,Prueba,Teste,Test,Testspiel,Тестирование,Test et
Move limit: %d,Move limit: %d,Límite de movimientos: %d,Limite de jogadas: %d,Limite de coups : %d,Zuglimit: %d,Лимит ходов: %d,Hamle sınırı: %d
Bonus for finishing within %d moves,Bonus for finishing within %d moves,Bonificación al terminar en %d movimientos,Bônus por concluir em até %d jogadas,Bonus en terminant en %d coups maximum,Bonus für höchstens %d Züge,Бонус за прохождение за %d ходов,%d hamle içinde bitirme bonusu
Time limit: %s,Time limit: %s,Límite de tiempo: %s,Limite de tempo: %s,Temps limite : %s,Zeitlimit: %s,Лимит времени: %s,Süre sınırı: %s
Bonus for finishing within %s,Bonus for finishing within %s,Bonificación al terminar en %s,Bônus por concluir em até %s,Bonus en terminant en moins de %s,Bonus bei Abschluss innerhalb von %s,Бонус за прохождение за %s,%s içinde bitirme bonusu
Level complete   %d,Level complete   %d,Nivel completado   %d,Fase concluída   %d,Niveau terminé   %d,Level geschafft   %d,Уровень пройден   %d,Bölüm tamamlandı   %d
Each spare move   +%d,Each spare move   +%d,Por movimiento restante   +%d,Por jogada restante   +%d,Par coup restant   +%d,Je übriger Zug   +%d,За оставшийся ход   +%d,Kalan her hamle   +%d
Each spare second  +%d,Each spare second  +%d,Por segundo restante  +%d,Por segundo restante  +%d,Par seconde restante  +%d,Je übrige Sekunde  +%d,За оставшуюся секунду  +%d,Kalan her saniye  +%d
Best: %d,Best: %d,Récord: %d,Recorde: %d,Record : %d,Rekord: %d,Рекорд: %d,En iyi: %d
Paused,Paused,En pausa,Pausado,En pause,Pausiert,Пауза,Duraklatıldı
Resume,Resume,Continuar,Continuar,Reprendre,Fortsetzen,Продолжить,Devam et
Quit to menu,Quit to menu,Volver al menú,Voltar ao menu,Retour au menu,Zum Menü,В меню,Menüye dön
Level Complete!,Level Complete!,¡Nivel completado!,Fase concluída!,Niveau terminé !,Level geschafft!,Уровень пройден!,Bölüm Tamamlandı!
Level complete,Level complete,Nivel completado,Fase concluída,Niveau terminé,Level geschafft,Уровень пройден,Bölüm tamamlandı
%d spare moves x %d,%d spare moves x %d,%d movimientos restantes × %d,%d jogadas restantes × %d,%d coups restants × %d,%d übrige Züge × %d,Оставшиеся ходы: %d × %d,Kalan %d hamle x %d
%d spare seconds x %d,%d spare seconds x %d,%d segundos restantes × %d,%d segundos restantes × %d,%d secondes restantes × %d,%d übrige Sekunden × %d,Оставшиеся секунды: %d × %d,Kalan %d saniye x %d
Score: %d,Score: %d,Puntuación: %d,Pontuação: %d,Score : %d,Punkte: %d,Очки: %d,Puan: %d
New best!,New best!,¡Nuevo récord!,Novo recorde!,Nouveau record !,Neuer Rekord!,Новый рекорд!,Yeni rekor!
Back to editor,Back to editor,Volver al editor,Voltar ao editor,Retour à l’éditeur,Zum Editor,В редактор,Tasarımcıya dön
Next level,Next level,Siguiente nivel,Próxima fase,Niveau suivant,Nächstes Level,Следующий уровень,Sonraki bölüm
Level select,Level select,Elegir nivel,Escolher fase,Choix du niveau,Levelauswahl,Выбор уровня,Bölüm seçimi
Play again,Play again,Volver a jugar,Jogar novamente,Rejouer,Erneut spielen,Играть ещё раз,Tekrar oyna
Time's up!,Time's up!,¡Se acabó el tiempo!,O tempo acabou!,Temps écoulé !,Zeit abgelaufen!,Время вышло!,Süre doldu!
Out of moves!,Out of moves!,¡Sin movimientos!,Acabaram as jogadas!,Plus de coups !,Züge aufgebraucht!,Ходы закончились!,Hamleler bitti!
No moves left!,No moves left!,¡No hay movimientos posibles!,Não há jogadas possíveis!,Aucun coup possible !,Keine Züge möglich!,Нет доступных ходов!,Hamle kalmadı!
Some goal pieces survived this time.,Some goal pieces survived this time.,Quedan piezas objetivo sin destruir.,Algumas peças-alvo não foram destruídas.,Il reste des pièces cibles à détruire.,Einige Zielobjekte sind noch übrig.,Остались неуничтоженные целевые предметы.,Bu sefer bazı hedef parçalar kaldı.
Try again,Try again,Intentar de nuevo,Tentar novamente,Réessayer,Noch einmal,Попробовать снова,Tekrar dene
Undo last move,Undo last move,Deshacer último movimiento,Desfazer última jogada,Annuler le dernier coup,Letzten Zug zurücknehmen,Отменить последний ход,Son hamleyi geri al
Level info,Level info,Información del nivel,Informações da fase,Infos du niveau,Levelinfo,Об уровне,Bölüm bilgisi
Destroy all goal pieces. Moves and time are bonus targets.,Destroy all goal pieces. Moves and time are bonus targets.,Destruye todas las piezas objetivo. Los movimientos y el tiempo dan bonificaciones.,Destrua todas as peças-alvo. Jogadas e tempo são metas de bônus.,Détruisez toutes les pièces cibles. Les coups et le temps donnent des bonus.,Zerstöre alle Zielobjekte. Für Züge und Zeit gibt es Boni.,Уничтожьте все целевые предметы. Ходы и время влияют на бонусы.,Tüm hedef parçaları yok et. Hamle ve süre hedefleri bonus kazandırır.
Back to game,Back to game,Volver al juego,Voltar ao jogo,Retour au jeu,Zurück zum Spiel,Вернуться в игру,Oyuna dön
"falls, can't be moved up","falls, can't be moved up",cae y no puede subir,cai e não pode subir,"tombe, ne peut pas monter","fällt, kann nicht nach oben bewegt werden","падает, нельзя двигать вверх","düşer, yukarı taşınamaz"
"floats up, can't be moved down","floats up, can't be moved down",flota hacia arriba y no puede bajar,flutua e não pode descer,"monte, ne peut pas descendre","steigt, kann nicht nach unten bewegt werden","всплывает, нельзя двигать вниз","yükselir, aşağı taşınamaz"
stays where you put it,stays where you put it,se queda donde lo colocas,fica onde você colocar,reste là où vous le placez,"bleibt, wo du es ablegst",остаётся на месте,bıraktığın yerde kalır
; does not match,; does not match,; no forma combinaciones,; não forma combinações, ; ne s’associe pas,; bildet keine Gruppen,; не образует комбинаций,; eşleşmez
; survives bombs,; survives bombs,; resiste las bombas,; resiste a bombas, ; résiste aux bombes,; übersteht Bomben,; не уничтожается бомбами,; bombalardan etkilenmez
: touch a matching lock to open it,: touch a matching lock to open it,: toca un candado del mismo color para abrirlo,: toque um cadeado da mesma cor para abri-lo, : touche un cadenas de même couleur pour l’ouvrir,: öffnet ein gleichfarbiges Schloss bei Berührung,: открывает замок того же цвета при касании,: aynı renkteki kilide dokunarak aç
Bomb: falls; explodes beside cracked walls or when tapped,Bomb: falls; explodes beside cracked walls or when tapped,Bomba: cae; explota junto a muros agrietados o al tocarla,Bomba: cai; explode perto de paredes rachadas ou ao tocar nela,Bombe : tombe ; explose près des murs fissurés ou au toucher,Bombe: fällt; explodiert neben rissigen Mauern oder beim Antippen,Бомба: падает; взрывается рядом с треснувшей стеной или при нажатии,Bomba: düşer; çatlak duvarların yanında veya dokunulduğunda patlar
Padlock: can't be moved; a %s key opens it,Padlock: can't be moved; a %s key opens it,Candado: inmóvil; se abre con la llave de color %s,Cadeado: imóvel; abre com a chave de cor %s,Cadenas : immobile ; s’ouvre avec la clé de couleur %s,Schloss: unbeweglich; Schlüsselfarbe: %s,Замок: неподвижен; цвет нужного ключа — %s,Asma kilit: taşınamaz; %s anahtarla açılır
Locked: pinned until a %s key touches it,Locked: pinned until a %s key touches it,Bloqueado: inmóvil hasta tocar una llave de color %s,Trancado: imóvel até tocar uma chave de cor %s,Verrouillé : immobile jusqu’au contact d’une clé de couleur %s,Gesperrt bis zur Berührung mit einem Schlüssel; Farbe: %s,Заблокирован до касания ключа; цвет ключа — %s,Kilitli: %s anahtar dokunana kadar sabittir
%s: destroys items that fall in,%s: destroys items that fall in,%s: destruye las piezas que caen dentro,%s: destrói peças que caem nela,%s : détruit les pièces qui y tombent,%s: zerstört hineinfallende Objekte,%s: уничтожает упавшие предметы,%s: içine düşen parçaları yok eder
Cracked wall: bombs and explosions break it,Cracked wall: bombs and explosions break it,Muro agrietado: las bombas y explosiones lo destruyen,Parede rachada: bombas e explosões a destroem,Mur fissuré : les bombes et explosions le détruisent,Rissige Mauer: wird durch Explosionen zerstört,Треснувшая стена: разрушается взрывами,Çatlak duvar: bombalar ve patlamalar kırar
Teleport: step on it to jump to its partner (only if the partner is empty),Teleport: step on it to jump to its partner (only if the partner is empty),"Teletransporte: entra para ir a su pareja, si está libre","Teleporte: entre para ir ao par, se estiver livre",Téléporteur : entrez pour rejoindre son partenaire s’il est libre,"Teleport: betreten, um zum freien Gegenstück zu springen","Телепорт: переносит на парный телепорт, если он свободен",Işınlayıcı: eşine gitmek için üzerine gel (yalnızca eşi boşsa)
Elbow: side openings connect both ways. The lower tube lands on the elbow; move down to return.,Elbow: side openings connect both ways. The lower tube lands on the elbow; move down to return.,Codo: conecta las aberturas en ambos sentidos. El tubo inferior lleva al codo; baja para volver.,Cotovelo: conecta as aberturas nos dois sentidos. O tubo inferior leva ao cotovelo; desça para voltar.,Coude : les ouvertures fonctionnent dans les deux sens. Le tube inférieur mène au coude ; descendez pour revenir.,Rohrbogen: Öffnungen funktionieren in beide Richtungen. Das untere Rohr führt auf den Bogen; nach unten geht es zurück.,"Изгиб: отверстия соединены в обе стороны. Нижняя труба выводит на клетку изгиба; двигайтесь вниз, чтобы вернуться.",Dirsek: yan açıklıklar iki yönde bağlıdır. Alt boru dirseğe çıkar; geri dönmek için aşağı git.
"Pipe: land on the translucent exit. Move down to return; once you leave, you cannot re-enter it.","Pipe: land on the translucent exit. Move down to return; once you leave, you cannot re-enter it.","Tubo: llegas a la salida translúcida. Baja para volver; si sales de esa casilla, no podrás volver a entrar.","Tubo: chega à saída translúcida. Desça para voltar; ao sair dessa casa, não poderá entrar de novo.","Tube : arrivez sur la sortie translucide. Descendez pour revenir ; une fois sortie, vous ne pouvez plus y entrer.",Rohr: endet auf dem durchscheinenden Ausgang. Nach unten geht es zurück; nach dem Verlassen ist kein Wiedereintritt möglich.,"Труба: выход на полупрозрачную клетку. Вниз — обратно; покинув эту клетку, вернуться на неё нельзя.",Boru: yarı saydam çıkışa ulaşırsın. Geri dönmek için aşağı git; ayrıldıktan sonra tekrar giremezsin.
"Pipe: enter through the opening, slide out of the linked pipe","Pipe: enter through the opening, slide out of the linked pipe",Tubo: entra por la abertura y sal por el tubo conectado,Tubo: entre pela abertura e saia pelo tubo conectado,"Tube : entrez par l’ouverture, sortez par le tube relié","Rohr: durch die Öffnung hinein, aus dem verbundenen Rohr heraus",Труба: войдите в отверстие и выйдите из связанной трубы,"Boru: açıklıktan gir, bağlı borudan çık"
Surround an item with 4 items of one other type: all 5 explode,Surround an item with 4 items of one other type: all 5 explode,Rodea una pieza con 4 de otro mismo tipo: las 5 explotan,Cerque uma peça com 4 de outro mesmo tipo: as 5 explodem,Entourez une pièce de 4 pièces identiques d’un autre type : les 5 explosent,Umringe ein Objekt mit 4 gleichen Objekten eines anderen Typs: alle 5 explodieren,Окружите предмет четырьмя одинаковыми предметами другого типа — все пять взорвутся,Bir parçayı başka bir türden 4 parçayla çevrele: 5'i de patlar
red,red,rojo,vermelha,rouge,Rot,красный,kırmızı
green,green,verde,verde,verte,Grün,зелёный,yeşil
yellow,yellow,amarillo,amarela,jaune,Gelb,жёлтый,sarı
blue,blue,azul,azul,bleue,Blau,синий,mavi
Water,Water,Agua,Água,Eau,Wasser,Вода,Su
Lava,Lava,Lava,Lava,Lave,Lava,Лава,Lav
Acid,Acid,Ácido,Ácido,Acide,Säure,Кислота,Asit
Crystal,Crystal,Cristal,Cristal,Cristal,Kristall,Кристалл,Kristal
Plant,Plant,Planta,Planta,Plante,Pflanze,Растение,Bitki
Star,Star,Estrella,Estrela,Étoile,Stern,Звезда,Yıldız
Shell,Shell,Concha,Concha,Coquillage,Muschel,Ракушка,Deniz kabuğu
Crate,Crate,Caja,Caixote,Caisse,Kiste,Ящик,Sandık
Rock,Rock,Roca,Pedra,Rocher,Fels,Камень,Kaya
Bubble,Bubble,Burbuja,Bolha,Bulle,Blase,Пузырь,Baloncuk
Balloon,Balloon,Globo,Balão,Ballon,Ballon,Воздушный шар,Balon
Pyramid,Pyramid,Pirámide,Pirâmide,Pyramide,Pyramide,Пирамида,Piramit
Cube,Cube,Cubo,Cubo,Cube,Würfel,Куб,Küp
Torus,Torus,Aro,Anel,Anneau,Ring,Кольцо,Halka
Sphere,Sphere,Esfera,Esfera,Sphère,Kugel,Шар,Küre
Cone,Cone,Cono,Cone,Cône,Kegel,Конус,Koni
Weight,Weight,Peso,Peso,Poids,Gewicht,Груз,Ağırlık
Weight Red,Weight Red,Peso rojo,Peso vermelho,Poids rouge,Rotes Gewicht,Красный груз,Kırmızı ağırlık
Block Red,Block Red,Bloque rojo,Bloco vermelho,Bloc rouge,Roter Block,Красный блок,Kırmızı blok
Block Blue,Block Blue,Bloque azul,Bloco azul,Bloc bleu,Blauer Block,Синий блок,Mavi blok
Mover Green,Mover Green,Bloque móvil verde,Bloco móvel verde,Bloc mobile vert,Grüner Schiebeblock,Зелёный подвижный блок,Yeşil hareketli blok
Mover Red,Mover Red,Bloque móvil rojo,Bloco móvel vermelho,Bloc mobile rouge,Roter Schiebeblock,Красный подвижный блок,Kırmızı hareketli blok
Padlock,Padlock,Candado,Cadeado,Cadenas,Schloss,Замок,Asma kilit
Bomb,Bomb,Bomba,Bomba,Bombe,Bombe,Бомба,Bomba
Key Red,Key Red,Llave roja,Chave vermelha,Clé rouge,Roter Schlüssel,Красный ключ,Kırmızı anahtar
Key Green,Key Green,Llave verde,Chave verde,Clé verte,Grüner Schlüssel,Зелёный ключ,Yeşil anahtar
Key Yellow,Key Yellow,Llave amarilla,Chave amarela,Clé jaune,Gelber Schlüssel,Жёлтый ключ,Sarı anahtar
Key Blue,Key Blue,Llave azul,Chave azul,Clé bleue,Blauer Schlüssel,Синий ключ,Mavi anahtar
Jungle Meadow,Jungle Meadow,Pradera de la jungla,Clareira da selva,Clairière de la jungle,Dschungelwiese,Лесная поляна,Orman Çayırı
Waterfall Cliffs,Waterfall Cliffs,Acantilados de cascadas,Penhascos das cachoeiras,Falaises aux cascades,Wasserfallklippen,Водопадные скалы,Şelale Kayalıkları
Desert Temple,Desert Temple,Templo del desierto,Templo do deserto,Temple du désert,Wüstentempel,Храм пустыни,Çöl Tapınağı
Frozen Portals,Frozen Portals,Portales helados,Portais congelados,Portails gelés,Gefrorene Portale,Ледяные порталы,Donmuş Geçitler
Old Pipeworks,Old Pipeworks,Tuberías antiguas,Tubulações antigas,Anciennes canalisations,Altes Rohrwerk,Старые трубы,Eski Boru Şebekesi
Deep Quarry,Deep Quarry,Cantera profunda,Pedreira profunda,Carrière profonde,Tiefer Steinbruch,Глубокий карьер,Derin Taş Ocağı
Volcano,Volcano,Volcán,Vulcão,Volcan,Vulkan,Вулкан,Yanardağ
Acid Swamp,Acid Swamp,Pantano ácido,Pântano ácido,Marais acide,Säuresumpf,Кислотное болото,Asit Bataklığı
Sky Isles,Sky Isles,Islas del cielo,Ilhas do céu,Îles célestes,Himmelsinseln,Небесные острова,Gökyüzü Adaları
Crystal Caves,Crystal Caves,Cuevas de cristal,Cavernas de cristal,Grottes de cristal,Kristallhöhlen,Кристальные пещеры,Kristal Mağaraları
Nexus,Nexus,Nexo,Nexo,Nexus,Nexus,Нексус,Kavşak
Acid Drop,Acid Drop,Caída ácida,Queda ácida,Chute acide,Säuretropfen,Кислотная капля,Asit Damlası
Alternating Descent,Alternating Descent,Descenso alterno,Descida alternada,Descente alternée,Abwechselnder Abstieg,Поочерёдный спуск,Dönüşümlü İniş
Boom!,Boom!,¡Bum!,Bum!,Boum !,Bumm!,Бум!,Bum!
Bridge the Pit,Bridge the Pit,Cruza el pozo,Atravesse o abismo,Franchir le gouffre,Über die Grube,Мост через яму,Çukuru Aş
Bright Hollow,Bright Hollow,Hondonada luminosa,Vale luminoso,Vallon lumineux,Helle Senke,Светлая ложбина,Aydınlık Oyuk
Bright Nook,Bright Nook,Rincón luminoso,Recanto luminoso,Recoin lumineux,Heller Winkel,Светлый уголок,Aydınlık Köşe
Bright Passage,Bright Passage,Pasaje luminoso,Passagem luminosa,Passage lumineux,Heller Durchgang,Светлый проход,Aydınlık Geçit
Bright Pocket,Bright Pocket,Refugio luminoso,Refúgio luminoso,Refuge lumineux,Helles Versteck,Светлый тайник,Aydınlık Cep
Bright Steps,Bright Steps,Escalones luminosos,Degraus luminosos,Marches lumineuses,Helle Stufen,Светлые ступени,Aydınlık Basamaklar
Bubble Trouble,Bubble Trouble,Burbujas en apuros,Problemas com bolhas,Bulles en pagaille,Blasenwirrwarr,Пузырьковые хлопоты,Baloncuk Belası
Cracked Crossing,Cracked Crossing,Cruce agrietado,Travessia rachada,Passage fissuré,Rissiger Übergang,Треснувший переход,Çatlak Geçit
Crooked Corner,Crooked Corner,Esquina torcida,Canto torto,Coin tortueux,Schiefe Ecke,Кривой угол,Eğri Köşe
Crooked Crossing,Crooked Crossing,Cruce torcido,Travessia tortuosa,Croisée tortueuse,Schiefer Übergang,Кривой переход,Eğri Geçit
Crooked Grove,Crooked Grove,Arboleda torcida,Bosque tortuoso,Bosquet tortueux,Schiefer Hain,Кривая роща,Eğri Koru
Crooked Hollow,Crooked Hollow,Hondonada torcida,Vale tortuoso,Vallon tortueux,Schiefe Senke,Кривая ложбина,Eğri Oyuk
Crooked Keep,Crooked Keep,Fortaleza torcida,Fortaleza torta,Donjon tortueux,Schiefe Burg,Кривая крепость,Eğri Kale
Crooked Ledge,Crooked Ledge,Cornisa torcida,Beirada tortuosa,Corniche tortueuse,Schiefer Vorsprung,Кривой уступ,Eğri Çıkıntı
Crooked Pocket,Crooked Pocket,Refugio torcido,Refúgio tortuoso,Refuge tortueux,Schiefes Versteck,Кривой тайник,Eğri Cep
Down the Pipe,Down the Pipe,Por la tubería,Pelo cano abaixo,Dans le tube,Das Rohr hinab,Вниз по трубе,Borudan Aşağı
Falling into Place,Falling into Place,Todo encaja,Tudo se encaixa,Tout se met en place,Alles fällt an seinen Platz,Всё на своих местах,Yerine Oturmak
Garden Gate,Garden Gate,Puerta del jardín,Portão do jardim,Porte du jardin,Gartentor,Садовые ворота,Bahçe Kapısı
Gentle Corner,Gentle Corner,Esquina tranquila,Canto tranquilo,Coin paisible,Sanfte Ecke,Тихий угол,Sakin Köşe
Gentle Garden,Gentle Garden,Jardín tranquilo,Jardim tranquilo,Jardin paisible,Sanfter Garten,Тихий сад,Sakin Bahçe
Gentle Maze,Gentle Maze,Laberinto tranquilo,Labirinto tranquilo,Labyrinthe paisible,Sanftes Labyrinth,Тихий лабиринт,Sakin Labirent
Gentle Tower,Gentle Tower,Torre tranquila,Torre tranquila,Tour paisible,Sanfter Turm,Тихая башня,Sakin Kule
Golden Corner,Golden Corner,Esquina dorada,Canto dourado,Coin doré,Goldene Ecke,Золотой угол,Altın Köşe
Golden Pocket,Golden Pocket,Refugio dorado,Refúgio dourado,Refuge doré,Goldenes Versteck,Золотой тайник,Altın Cep
Hidden Hollow,Hidden Hollow,Hondonada oculta,Vale escondido,Vallon caché,Verborgene Senke,Скрытая ложбина,Gizli Oyuk
Hidden Maze,Hidden Maze,Laberinto oculto,Labirinto escondido,Labyrinthe caché,Verborgenes Labyrinth,Скрытый лабиринт,Gizli Labirent
Hidden Path,Hidden Path,Sendero oculto,Caminho escondido,Chemin caché,Verborgener Pfad,Тайная тропа,Gizli Yol
Hidden Tower,Hidden Tower,Torre oculta,Torre escondida,Tour cachée,Verborgener Turm,Скрытая башня,Gizli Kule
Jungle Jewel Box,Jungle Jewel Box,Joyero de la jungla,Joias da selva,Écrin de la jungle,Dschungelschatztruhe,Шкатулка джунглей,Ormanın Mücevher Kutusu
Key Delivery,Key Delivery,Entrega de llaves,Entrega de chaves,Livraison de clés,Schlüssellieferung,Доставка ключа,Anahtar Teslimatı
Keys Above the Fire,Keys Above the Fire,Llaves sobre el fuego,Chaves sobre o fogo,Clés au-dessus du feu,Schlüssel über dem Feuer,Ключи над огнём,Ateşin Üzerindeki Anahtarlar
Locks Above the Water,Locks Above the Water,Candados sobre el agua,Cadeados sobre a água,Cadenas au-dessus de l’eau,Schlösser über dem Wasser,Замки над водой,Suyun Üzerindeki Kilitler
Lost Corner,Lost Corner,Esquina perdida,Canto perdido,Coin perdu,Verlorene Ecke,Затерянный угол,Kayıp Köşe
Lost Crossing,Lost Crossing,Cruce perdido,Travessia perdida,Croisée perdue,Verlorener Übergang,Затерянный переход,Kayıp Geçit
Lost Steps,Lost Steps,Escalones perdidos,Degraus perdidos,Marches perdues,Verlorene Stufen,Затерянные ступени,Kayıp Basamaklar
Lost Tower,Lost Tower,Torre perdida,Torre perdida,Tour perdue,Verlorener Turm,Затерянная башня,Kayıp Kule
Lucky Corner,Lucky Corner,Esquina afortunada,Canto da sorte,Coin chanceux,Glücksecke,Счастливый угол,Şanslı Köşe
Lucky Keep,Lucky Keep,Fortaleza afortunada,Fortaleza da sorte,Donjon chanceux,Glücksburg,Счастливая крепость,Şanslı Kale
Lucky Ledge,Lucky Ledge,Cornisa afortunada,Beirada da sorte,Corniche chanceuse,Glücksvorsprung,Счастливый уступ,Şanslı Çıkıntı
Lucky Passage,Lucky Passage,Pasaje afortunado,Passagem da sorte,Passage chanceux,Glücksdurchgang,Счастливый проход,Şanslı Geçit
Lucky Path,Lucky Path,Sendero afortunado,Caminho da sorte,Chemin chanceux,Glückspfad,Счастливая тропа,Şanslı Yol
Lucky Tower,Lucky Tower,Torre afortunada,Torre da sorte,Tour chanceuse,Glücksturm,Счастливая башня,Şanslı Kule
Mistbound Rings,Mistbound Rings,Aros entre la niebla,Anéis na névoa,Anneaux dans la brume,Ringe im Nebel,Кольца в тумане,Sisteki Halkalar
Misty Nook,Misty Nook,Rincón brumoso,Recanto enevoado,Recoin brumeux,Nebliger Winkel,Туманный уголок,Sisli Köşe
Misty Passage,Misty Passage,Pasaje brumoso,Passagem enevoada,Passage brumeux,Nebliger Durchgang,Туманный проход,Sisli Geçit
Misty Pocket,Misty Pocket,Refugio brumoso,Refúgio enevoado,Refuge brumeux,Nebliges Versteck,Туманный тайник,Sisli Cep
Misty Steps,Misty Steps,Escalones brumosos,Degraus enevoados,Marches brumeuses,Neblige Stufen,Туманные ступени,Sisli Basamaklar
Portal Hop,Portal Hop,Salto de portal,Salto pelo portal,Saut de portail,Portalsprung,Прыжок в портал,Geçitten Geçide
Quiet Grove,Quiet Grove,Arboleda tranquila,Bosque tranquilo,Bosquet calme,Ruhiger Hain,Спокойная роща,Sessiz Koru
Quiet Maze,Quiet Maze,Laberinto silencioso,Labirinto silencioso,Labyrinthe calme,Ruhiges Labyrinth,Спокойный лабиринт,Sessiz Labirent
Quiet Nook,Quiet Nook,Rincón tranquilo,Recanto tranquilo,Recoin calme,Ruhiger Winkel,Спокойный уголок,Sessiz Köşe
Quiet Path,Quiet Path,Sendero tranquilo,Caminho tranquilo,Chemin calme,Ruhiger Pfad,Спокойная тропа,Sessiz Yol
Silent Bridge,Silent Bridge,Puente silencioso,Ponte silenciosa,Pont silencieux,Stille Brücke,Безмолвный мост,Sessiz Köprü
Silent Corner,Silent Corner,Esquina silenciosa,Canto silencioso,Coin silencieux,Stille Ecke,Безмолвный угол,Suskun Köşe
Silent Keep,Silent Keep,Fortaleza silenciosa,Fortaleza silenciosa,Donjon silencieux,Stille Burg,Безмолвная крепость,Suskun Kale
Silent Tower,Silent Tower,Torre silenciosa,Torre silenciosa,Tour silencieuse,Stiller Turm,Безмолвная башня,Suskun Kule
Sleepy Grove,Sleepy Grove,Arboleda dormida,Bosque sonolento,Bosquet endormi,Schläfriger Hain,Сонная роща,Uykulu Koru
Sleepy Keep,Sleepy Keep,Fortaleza dormida,Fortaleza sonolenta,Donjon endormi,Schläfrige Burg,Сонная крепость,Uykulu Kale
Sleepy Steps,Sleepy Steps,Escalones dormidos,Degraus sonolentos,Marches endormies,Schläfrige Stufen,Сонные ступени,Uykulu Basamaklar
Stone Crossroads,Stone Crossroads,Encrucijada de piedra,Encruzilhada de pedra,Carrefour de pierre,Steinerne Kreuzung,Каменный перекрёсток,Taş Kavşak
